"Time (UTC)","Google (Search)","Telescope (# Unique Source IPs)","BGP (#Visible /24s)","Active Probing (#/24s Up)"
"2022-09-23 12:45:00",,23.018753781004232,97.7528833219397,94.87266094710532
"2022-09-23 13:00:00",18.18870811166164,22.0205686630369,97.7293610014628,94.68013240559347
"2022-09-23 13:15:00",,22.23230490018149,97.4265111253225,94.08903600621495
"2022-09-23 13:30:00",15.609273099444612,21.657592256503328,97.71759984122433,94.4876038640816
"2022-09-23 13:45:00",,21.74833635813672,97.71759984122433,94.67675471188272
"2022-09-23 14:00:00",14.559128401867483,20.992135511191773,97.71759984122433,94.44031615213132
"2022-09-23 14:15:00",,21.445856019358743,97.71759984122433,94.47409308923866
"2022-09-23 14:30:00",13.470332281010492,23.109497882637626,97.71759984122433,94.36262919678443
"2022-09-23 14:45:00",,21.71808832425892,97.71759984122433,94.60920083766804
"2022-09-23 15:00:00",13.443101989164246,22.807017543859647,97.71759984122433,94.6058231439573
"2022-09-23 15:15:00",,22.595281306715062,97.71612969619453,94.7915962980477
"2022-09-23 15:30:00",14.892195731089863,22.323049001814883,97.71539462367963,94.8321286225765
"2022-09-23 15:45:00",,21.32486388384755,97.71539462367963,94.56191312571775
"2022-09-23 16:00:00",16.43688251971111,19.782214156079856,97.71539462367963,94.7037762615686
"2022-09-23 16:15:00",,21.445856019358743,97.71539462367963,95.06181179490643
"2022-09-23 16:30:00",16.99418062969751,23.018753781004232,97.71539462367963,94.85915017226237
"2022-09-23 16:45:00",,24.531155474894135,97.71539462367963,94.8321286225765
"2022-09-23 17:00:00",18.287232075994112,23.744706594071385,97.71539462367963,95.05505640748497
"2022-09-23 17:15:00",,24.198427102238355,97.71539462367963,95.156387218807
"2022-09-23 17:30:00",18.488791012816662,25.710828796128247,97.71539462367963,95.04830102006349
"2022-09-23 17:45:00",,24.410163339382937,97.71539462367963,94.8794163345268
"2022-09-23 18:00:00",19.65844242499346,25.89231699939504,97.71539462367963,95.26109572383976
"2022-09-23 18:15:00",,25.0151240169389,97.71539462367963,95.20367493075727
"2022-09-23 18:30:00",22.582322321210764,25.680580762250454,97.71539462367963,95.20367493075727
"2022-09-23 18:45:00",,25.0151240169389,97.71539462367963,94.74430858609742
"2022-09-23 19:00:00",22.88335742519556,24.410163339382937,97.71539462367963,94.86928325339458
"2022-09-23 19:15:00",,24.742891712038716,97.71539462367963,94.94021482132
"2022-09-23 19:30:00",23.799748474558935,25.16636418632789,97.71539462367963,95.20029723704656
"2022-09-23 19:45:00",,23.926194797338173,97.71539462367963,95.27122880497197
"2022-09-23 20:00:00",23.153666176485142,23.563218390804597,97.71539462367963,94.82875092886577
"2022-09-23 20:15:00",,24.894131881427704,97.72127520379885,94.84563939741945
"2022-09-23 20:30:00",22.918250060499705,29.76406533575317,99.55895649105784,94.7139093427008
"2022-09-23 20:45:00",,27.949183303085302,99.55895649105784,94.96723637100588
"2022-09-23 21:00:00",64.36587771985296,27.828191167574108,99.2663976301262,94.4977369452138
"2022-09-23 21:15:00",,26.467029643073204,98.68348512580766,93.73100047287713
"2022-09-23 21:30:00",64.91804451253958,25.741076830006048,99.55748634602804,94.48422617037086
"2022-09-23 21:45:00",,25.55958862673926,99.55895649105784,94.52138080118895
"2022-09-23 22:00:00",56.272839550091234,26.16454930429522,99.55895649105784,94.75781936094036
"2022-09-23 22:15:00",,26.58802177858439,99.55895649105784,94.54840235087482
"2022-09-23 22:30:00",45.08694454949346,26.013309134906233,99.55895649105784,93.89312977099237
"2022-09-23 22:45:00",,24.924379915305504,99.55895649105784,93.80530973451327
"2022-09-23 23:00:00",37.1835572018447,26.073805202661827,99.55895649105784,93.4641626697291
"2022-09-23 23:15:00",,25.257108287961284,99.55895649105784,93.37296493953929
"2022-09-23 23:30:00",29.646019119058636,26.13430127041742,99.55895649105784,92.9811524690941
"2022-09-23 23:45:00",,21.052631578947366,99.55748634602804,93.10950483010201
"2022-09-24 00:00:00",23.539417842414295,27.797943133696307,99.55454605596842,92.12997365398905
"2022-09-24 00:15:00",,26.376285541439803,99.55454605596842,92.06917516719584
"2022-09-24 00:30:00",18.76080294453117,26.92075015124017,99.55454605596842,91.75167195838682
"2022-09-24 00:45:00",,24.470659407138534,99.55454605596842,91.85975815713032
"2022-09-24 01:00:00",15.810676983587296,26.648517846339985,99.55454605596842,91.42403566844558
"2022-09-24 01:15:00",,26.527525710828797,99.55454605596842,90.96129163007498
"2022-09-24 01:30:00",14.420745810481511,25.680580762250454,99.54719533081938,90.97480240491792
"2022-09-24 01:45:00",,26.89050211736237,99.55454605596842,90.6572991961089
"2022-09-24 02:00:00",15.19466230730035,25.40834845735027,99.53910953315544,90.79916233195974
"2022-09-24 02:15:00",,25.287356321839084,99.53910953315544,90.75187462000946
"2022-09-24 02:30:00",18.357988778769524,26.013309134906233,99.53910953315544,91.11328784705803
"2022-09-24 02:45:00",,27.434966727162735,99.53910953315544,90.73160845774505
"2022-09-24 03:00:00",24.781201057983917,29.159104658197215,99.53910953315544,90.70120921434844
